ダウンロードした時刻：2018/07/29 11:12:54

,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂
年月日,平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均風速(m/s),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/7/28,26.1,8,1,0.0,8,1,6.3,8,1,2.2,8,1,22.9,8,1,29.0,8,1
2013/7/29,25.6,8,1,11.5,8,1,0.0,8,1,2.0,8,1,24.3,8,1,26.8,8,1
2013/7/30,27.0,8,1,0.0,8,1,4.9,8,1,2.5,8,1,24.7,8,1,32.0,8,1
2013/7/31,26.2,8,1,0.0,8,1,0.5,8,1,1.9,8,1,24.8,8,1,29.2,8,1
2013/8/1,27.3,8,1,7.5,8,1,4.6,8,1,2.2,8,1,24.7,8,1,31.1,8,1
2013/8/2,25.5,8,1,0.5,8,1,2.4,8,1,2.3,8,1,24.0,8,1,28.6,8,1
2013/8/3,25.8,8,1,0.0,8,1,5.6,8,1,2.6,8,1,23.9,8,1,28.1,8,1
2013/8/4,27.1,8,1,0.0,8,1,6.1,8,1,2.6,8,1,24.9,8,1,30.1,8,1
2013/8/5,28.1,8,1,0.0,8,1,10.8,8,1,4.4,8,1,25.7,8,1,31.4,8,1
2013/8/6,27.3,8,1,2.5,8,1,0.7,8,1,2.1,8,1,25.6,8,1,30.2,8,1
2013/8/7,28.2,8,1,0.0,8,1,11.5,8,1,2.7,8,1,25.2,8,1,31.3,8,1
2013/8/8,28.7,8,1,0.0,8,1,9.7,8,1,2.9,8,1,25.8,8,1,31.8,8,1
2013/8/9,29.3,8,1,0.0,8,1,11.7,8,1,2.9,8,1,26.5,5,1,32.5,5,1
2013/8/10,30.2,8,1,0.0,8,1,10.8,8,1,1.9,8,1,26.8,8,1,33.4,8,1
2013/8/11,30.0,8,1,0.0,8,1,9.5,8,1,1.9,8,1,28.4,8,1,33.1,8,1
2013/8/12,30.4,8,1,0.0,8,1,8.6,8,1,2.0,8,1,27.2,8,1,35.2,8,1
2013/8/13,28.7,8,1,0.0,8,1,8.7,8,1,2.5,8,1,25.8,8,1,32.0,8,1
2013/8/14,28.1,8,1,0.0,8,1,11.2,8,1,2.7,8,1,25.6,8,1,31.4,8,1
2013/8/15,28.4,8,1,0.0,8,1,9.9,8,1,3.1,8,1,25.1,8,1,31.4,8,1
2013/8/16,28.8,8,1,0.0,8,1,10.6,8,1,5.1,8,1,27.0,8,1,31.7,8,1
2013/8/17,28.7,8,1,0.0,8,1,11.2,8,1,5.4,8,1,26.9,8,1,31.3,8,1
2013/8/18,28.8,8,1,0.0,8,1,12.5,8,1,6.6,8,1,26.8,8,1,31.3,8,1
2013/8/19,29.2,8,1,0.0,8,1,12.3,8,1,5.8,8,1,27.3,8,1,32.4,8,1
2013/8/20,29.0,8,1,0.0,8,1,10.1,8,1,7.1,8,1,27.7,8,1,31.8,8,1
2013/8/21,29.3,8,1,0.0,8,1,6.0,8,1,2.4,8,1,26.5,8,1,32.9,8,1
2013/8/22,28.8,8,1,0.0,8,1,8.8,8,1,2.7,8,1,25.9,8,1,33.2,8,1
2013/8/23,28.2,8,1,0.5,8,1,1.6,8,1,1.9,8,1,25.0,8,1,31.5,8,1
2013/8/24,27.7,8,1,0.5,8,1,0.0,8,1,1.6,8,1,24.8,8,1,30.3,8,1
2013/8/25,24.0,8,1,23.0,8,1,0.0,8,1,1.5,8,1,21.9,8,1,26.9,8,1
2013/8/26,25.3,8,1,0.5,8,1,3.4,8,1,1.9,8,1,21.8,8,1,28.5,8,1
2013/8/27,24.5,8,1,15.5,8,1,9.2,8,1,3.9,8,1,19.7,8,1,29.6,8,1
2013/8/28,26.0,8,1,0.0,8,1,11.8,8,1,2.2,8,1,21.1,8,1,29.8,8,1
2013/8/29,27.1,8,1,0.0,8,1,11.6,8,1,4.0,8,1,23.3,8,1,30.5,8,1
2013/8/30,28.9,8,1,0.0,8,1,10.1,8,1,4.5,8,1,26.9,8,1,31.8,8,1
2013/8/31,28.7,8,1,0.0,8,1,11.8,8,1,5.3,8,1,26.6,8,1,31.4,8,1
2013/9/1,28.7,8,1,0.0,8,1,10.9,8,1,5.7,8,1,26.5,8,1,31.4,8,1
2013/9/2,27.6,8,1,0.0,8,1,10.7,8,1,3.6,8,1,25.1,8,1,31.2,8,1
2013/9/3,27.8,8,1,0.0,8,1,10.4,8,1,2.3,8,1,25.2,8,1,31.4,8,1
2013/9/4,26.1,8,1,56.0,8,1,3.9,8,1,3.1,8,1,23.4,8,1,28.3,8,1
2013/9/5,26.2,8,1,29.0,8,1,2.5,8,1,3.4,8,1,24.1,8,1,28.0,8,1
2013/9/6,26.4,8,1,0.0,8,1,3.9,8,1,2.8,8,1,24.0,8,1,30.3,8,1
2013/9/7,25.8,8,1,0.0,8,1,5.3,8,1,2.2,8,1,23.2,8,1,29.8,8,1
2013/9/8,25.1,8,1,1.0,8,1,0.8,8,1,3.5,8,1,22.3,8,1,28.9,8,1
2013/9/9,24.8,8,1,0.0,8,1,5.5,8,1,2.3,8,1,22.1,8,1,29.0,8,1
2013/9/10,23.9,8,1,4.0,8,1,0.5,8,1,2.1,8,1,21.1,8,1,27.2,8,1
2013/9/11,23.8,8,1,2.0,8,1,0.0,8,1,2.8,8,1,21.0,8,1,26.8,8,1
2013/9/12,25.4,8,1,0.0,8,1,10.4,8,1,2.1,8,1,21.1,8,1,28.6,8,1
2013/9/13,26.5,8,1,0.0,8,1,11.0,8,1,1.6,8,1,22.9,8,1,29.9,8,1
2013/9/14,26.9,8,1,1.0,8,1,2.2,8,1,1.3,8,1,25.1,8,1,30.2,8,1
2013/9/15,26.2,8,1,121.0,8,1,3.1,8,1,2.2,8,1,22.8,8,1,29.4,8,1
2013/9/16,26.1,8,1,17.0,8,1,0.1,8,1,6.9,8,1,21.9,8,1,27.7,8,1
2013/9/17,22.7,8,1,0.0,8,1,11.2,8,1,2.7,8,1,16.2,8,1,28.5,8,1
2013/9/18,22.7,8,1,0.0,8,1,11.4,8,1,2.9,8,1,17.7,8,1,29.0,8,1
2013/9/19,23.2,8,1,0.0,8,1,10.9,8,1,2.5,8,1,18.5,8,1,29.0,8,1
2013/9/20,24.0,8,1,0.0,8,1,11.0,8,1,3.4,8,1,19.1,8,1,28.2,8,1
2013/9/21,24.7,8,1,0.0,8,1,11.0,8,1,2.5,8,1,19.8,8,1,28.7,8,1
2013/9/22,25.0,8,1,0.0,8,1,7.6,8,1,2.8,8,1,21.5,8,1,31.3,8,1
2013/9/23,22.0,8,1,3.0,8,1,2.5,8,1,4.9,8,1,17.5,8,1,25.2,8,1
2013/9/24,23.0,8,1,0.5,8,1,6.6,8,1,4.2,8,1,17.3,8,1,27.9,8,1
